"LibPath","Version","Packages"
"/usr/local/lib/R/site-library","1.13.1","htmlTable"
"/usr/local/lib/R/site-library","0.3.6","htmltools"
"/usr/local/lib/R/site-library","1.3","htmlwidgets"
"/usr/local/lib/R/site-library","1.5.1","httpuv"
"/usr/local/lib/R/site-library","1.4.1","httr"
"/usr/local/lib/R/site-library","1.2.4.1","igraph"
"/usr/local/lib/R/site-library","0.9-9","ipred"
"/usr/local/lib/R/site-library","1.0.12","iterators"
"/usr/local/lib/R/site-library","0.1-3","itertools"
"/usr/local/lib/R/site-library","1.2.0","janitor"
"/usr/local/lib/R/site-library","2.6-9","jomo"
"/usr/local/lib/R/site-library","0.1-8","jpeg"
"/usr/local/lib/R/site-library","1.6","jsonlite"
"/usr/local/lib/R/site-library","1.24","knitr"
"/usr/local/lib/R/site-library","0.3","labeling"
"/usr/local/lib/R/site-library","0.8.0","later"
"/usr/local/lib/R/site-library","0.6-28","latticeExtra"
"/usr/local/lib/R/site-library","1.6.6","lava"
"/usr/local/lib/R/site-library","0.2.2","lazyeval"
"/usr/local/lib/R/site-library","3.0","leaps"
"/usr/local/lib/R/site-library","0.3.8","littler"
"/usr/local/lib/R/site-library","1.1-21","lme4"
"/usr/local/lib/R/site-library","0.9-37","lmtest"
"/usr/local/lib/R/site-library","1.5-9.1","locfit"
"/usr/local/lib/R/site-library","2.30-0","lsmeans"
"/usr/local/lib/R/site-library","1.7.4","lubridate"
"/usr/local/lib/R/site-library","1.5","magrittr"
"/usr/local/lib/R/site-library","1.2.6","mapproj"
"/usr/local/lib/R/site-library","3.3.0","maps"
"/usr/local/lib/R/site-library","0.9-5","maptools"
"/usr/local/lib/R/site-library","1.1","markdown"
"/usr/local/lib/R/site-library","1.1.0","memoise"
"/usr/local/lib/R/site-library","1.5.2","mfp"
"/usr/local/lib/R/site-library","1.8-28","mgcv"
"/usr/local/lib/R/site-library","3.6.0","mice"
"/usr/local/lib/R/site-library","0.7","mime"
"/usr/local/lib/R/site-library","1.2.4","minqa"
"/usr/local/lib/R/site-library","1.4","missForest"
"/usr/local/lib/R/site-library","1.14","missMDA"
"/usr/local/lib/R/site-library","0.3-7","mitml"
"/usr/local/lib/R/site-library","0.1.5","modelr"
"/usr/local/lib/R/site-library","1.6.7","msm"
"/usr/local/lib/R/site-library","1.4-10","multcomp"
"/usr/local/lib/R/site-library","0.5.0","munsell"
"/usr/local/lib/R/site-library","1.0-11","mvtnorm"
"/usr/local/lib/R/site-library","1.15","network"
"/usr/local/lib/R/site-library","1.2.1","nloptr"
"/usr/local/lib/R/site-library","2016.8-1.1","numDeriv"
"/usr/local/lib/R/site-library","0.3.5","officer"
"/usr/local/lib/R/site-library","1.4.1","openssl"
"/usr/local/lib/R/site-library","4.1.0.1","openxlsx"
"/usr/local/lib/R/site-library","2019.4-25","ordinal"
"/usr/local/lib/R/site-library","0.14","outliers"
"/usr/local/lib/R/site-library","1.15.3","pROC"
"/usr/local/lib/R/site-library","0.3.3","packcircles"
"/usr/local/lib/R/site-library","1.6","pan"
"/usr/local/lib/R/site-library","0.6.3","pander"
"/usr/local/lib/R/site-library","0.4-7","pbkrtest"
"/usr/local/lib/R/site-library","2018.07.26","pec"
"/usr/local/lib/R/site-library","1.4.2","pillar"
"/usr/local/lib/R/site-library","0.4-11","pixmap"
"/usr/local/lib/R/site-library","2.0.2","pkgconfig"
"/usr/local/lib/R/site-library","0.2.0","plogr"
"/usr/local/lib/R/site-library","4.9.0","plotly"
"/usr/local/lib/R/site-library","3.7-6","plotrix"
"/usr/local/lib/R/site-library","1.8.4","plyr"
"/usr/local/lib/R/site-library","0.1-7","png"
"/usr/local/lib/R/site-library","1.1.15","polspline"
